id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,25,24,8,168,179,FALSE,FALSE
,37,25,9,168,179,FALSE,FALSE
,37,26,9,168,179,FALSE,FALSE
,50,27,10,168,179,FALSE,FALSE
,63,28,11,168,179,FALSE,FALSE
,75,29,12,168,179,FALSE,FALSE
,84,30,13,168,179,FALSE,FALSE
,91,31,14,168,179,FALSE,FALSE
,95,32,15,168,179,FALSE,TRUE
,0,0,1,180,299,TRUE,FALSE
,0,1,1,180,299,FALSE,FALSE
,0,2,1,180,299,FALSE,FALSE
,0,3,1,180,299,FALSE,FALSE
,0,4,1,180,299,FALSE,FALSE
,0,5,1,180,299,FALSE,FALSE
,0,6,2,180,299,FALSE,FALSE
,0,7,2,180,299,FALSE,FALSE
,0,8,2,180,299,FALSE,FALSE
,0,9,2,180,299,FALSE,FALSE
,0,10,2,180,299,FALSE,FALSE
,1,11,3,180,299,FALSE,FALSE
,1,12,3,180,299,FALSE,FALSE
,1,13,3,180,299,FALSE,FALSE
,1,14,3,180,299,FALSE,FALSE
,1,15,3,180,299,FALSE,FALSE
,2,16,4,180,299,FALSE,FALSE
,2,17,4,180,299,FALSE,FALSE
,2,18,4,180,299,FALSE,FALSE
,2,19,4,180,299,FALSE,FALSE
,5,20,5,180,299,FALSE,FALSE
,9,21,6,180,299,FALSE,FALSE
,9,22,6,180,299,FALSE,FALSE
,16,23,7,180,299,FALSE,FALSE
,25,24,8,180,299,FALSE,FALSE
,25,25,8,180,299,FALSE,FALSE
,37,26,9,180,299,FALSE,FALSE
,50,27,10,180,299,FALSE,FALSE
,63,28,11,180,299,FALSE,FALSE
,75,29,12,180,299,FALSE,FALSE
,84,30,13,180,299,FALSE,FALSE
,91,31,14,180,299,FALSE,FALSE
,95,32,15,180,299,FALSE,TRUE
